rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
93,"spotify:track:71w26UK674tLfGtJFfDSjE","Arcángel","Ganas De Ti","Cinq Recordings",91,100,34,"421834"
94,"spotify:track:6Sv0CzVqzydd7NYQgAG70c","KAROL G","Ivonny Bonita","Bichota/Interscope Records",8,75,12,"419081"
95,"spotify:track:2SPBFiD8iITb8CKJGz1TEQ","Yan Block","111","SONAR LLC.",59,87,29,"417677"
96,"spotify:track:0EFxJw34fK8DWlTxx9qYeW","Blessd","Instagram","WEA Latina",2,94,167,"417518"
97,"spotify:track:0HDHY6RSHHG2ZTE0cMT4GJ","Aventura","Los Infieles","Premium Latin Music",63,77,55,"417071"
98,"spotify:track:3eIvjtwoYC16ElxYE6ph7J","Ele A El Dominio","Hace Mucho Tiempo","InnerCat Music Group, LLC",68,101,65,"415764"
99,"spotify:track:1a7onn7lPqqRWul5ogyMyX","Fuerza Regida","ANSIEDAD","Rancho Humilde/Street Mob Records/Sony Music Latin",99,131,2,"415094"
100,"spotify:track:4wu7jIeJCUhQJaXsXVit0e","Blessd","Palabras Sobran","WEA Latina",23,104,90,"410915"
101,"spotify:track:61C7zXd4t2Zuhz6DRwgsLM","Piso 21, Marc Anthony, Beéle","Volver","WM Mexico",10,54,31,"408658"
102,"spotify:track:3FqUPvubYeRCMsdJ02QyZR","Fuerza Regida","TÚ NAME","Rancho Humilde/Street Mob Records",102,134,8,"407472"
103,"spotify:track:5ds1Hh3lo4JUF2vflqyayK","Yiyo Sarante","Manos de Tijera","TranKYouTV",72,106,53,"407151"
104,"spotify:track:3KwYiawBfqngH7eaUHQn2N","Ryan Castro, Maisak","FDSR","AWOO Corp./Sony Music Latin",7,124,48,"406447"
105,"spotify:track:6OaGIYcVzx5c7aEKkuYS1M","Tony Dize, Yandel","Permítame","Pina Records",72,145,179,"404414"
106,"spotify:track:21nc3O8OncUv1jjSrC1ML2","Yiyo Sarante","Corazon de Acero","TranKYouTV",52,96,170,"403311"
107,"spotify:track:5mp6OBKCAjN4UYRvhOuUze","Oscar Maydon, Fuerza Regida","Tu Boda","Rancho Humilde/Sony Music Latin",11,108,45,"401856"
108,"spotify:track:3YnNJdbJwgJbIY52RqWPVn","Kris R., Hades66, Almighty","Otros Planes","La K Company SAS",43,85,14,"396961"
109,"spotify:track:2HbmLkHkkI15eES8kpWRuI","Los Hijos De Puerto Rico","Separados","CM ANGEL (A91)",59,123,75,"396721"
110,"spotify:track:3fJHbMUnzceimOnNjp63fF","Carín León","Primera Cita","Socios Music, LLC",7,107,113,"396205"
111,"spotify:track:4jdwQISB7rhP1EO4JiwnJF","Luigi 21 Plus","Gata Oficial","Bokisucio Music",52,98,80,"392025"
112,"spotify:track:1BvoLDKmotg5dqfVW8y8KR","Luigi 21 Plus","Daga Adicta","Bokisucio Music",72,125,119,"391634"
