ID,ISEMESTRE2025,2120500202,21202250,21202230,2120500201,21202180,21206810,21202190,21202220,21201580,21201980,21201200,21202240,21206900,21206890,21206780,21208480,2120000108,2120000119,2120000117,2120000104,2120000103,2120000105,2120000107,2120000106,2120700038,2120700154,2120700037,2120000142,2120000099,2120000109,2120000100,2120000123,2120000124,2120000101,2120000120,2120000125,2120000122,2120000118,2120000130,2120000126,2120000129,2120000128,2120000131,2120000132,2120000134,2120000133,2120000136,2120000137,2120000135,2120000138,2120000139,2120000140,2120000127,2120000169,2120000170,2120000171,2120000172,2120000173,2120000174,2120000175,2120000121,Por asignar,2120700156,2120700157,2120700211,2120700158,2120500203,Por Asignar,Por Asignar,Por Asignar,Por Asignar
1,FECHALECTURA,Col Sierra Morena,Doña Juana,UAN Usme,Vitelma,Quiba,San Benito–río Tunjuelo,Juan Rey,Paraíso,Pasquilla,Guadalupe,La Unión,UAN Circunvalar,La Esperanza,Cerro Cazadores,Independencia–río Tunjuelo,Kennedy–río Tunjuelo,FOPAE–IDIGER,Col Alemania Unificada,Col Moralba Suroriental,COLMAC,Cerro Norte,El Codito,La Fiscala,Gran Bretaña,San Francisco–qda Limas,Molinos–qda Chiguaza,Casas Fiscales Artillería,Col Carlos Pizarro,Col 21 Ángeles,Col Rodolfo Llinás,Col Francisco Primero S.S.,Col La Chucua,Col Rafael Uribe Uribe,Altos de la Estancia,Col Gustavo Morales Morales,Col Sorrento,INEM Fco de Paula Santander,Col Alberto Lleras Camargo,Col Paulo Freire,Col Ciudad de Villavicencio,Col Ofelia Uribe,Col Gabriel Garcia Márquez,Col Antonio García,Col El Tesoro de la Cumbre,Col Los Alpes,Col El Manantial,Col Los Pinos,Col Friedrich Naumann,Col Manuel Elkin Patarroyo,Col Nueva Zelandia,Esc Pedagógica Experimental,Fund Ana Restrepo del Corral,Col Eduardo Umaña,Col La Belleza,Col Simón Rodríguez,Col Agustín Fernández,Col Unión Colombia,Col Carlo Federici,Col Magdalena Ortega Nariño,Col La Felicidad,Col Gustavo Restrepo,La Viga,Chicú–río Bogotá,La Ramada–río Bogotá,Cra 56B–canal río Salitre,El Tabaco–río Bogotá,Gravilleras–río Tunjuelo,Nazareth,Escuela Col Ingeniería,Palomar Príncipe IDPC,San Juan Sumapaz
20,19/07/2025,"2,8","9,5","9,9","19,9",4,"4,9","25,5","10,3","12,4","20,4","4,2","7,7","18,7","6,4","3,6","4,1","2,2",13,"28,3",,"5,5",4,"10,1","9,6",4,"11,9","6,4","3,4","2,4","0,9",4,"4,9","6,1","3,6","1,7","6,7","5,6","1,7","8,3","17,4","11,4","17,1","3,1","2,3","16,9",23,"16,3","3,2","12,8","1,9","7,9",8,"12,6","22,5",7,"3,7","1,7","4,1","0,7","3,8","8,6","12,5","1,6","2,2","2,3","2,1","5,9","2,3","1,3",,
21,20/07/2025,0,0,"0,3","0,1",0,"0,1","0,6","1,2","0,7","0,3","0,3","0,5","1,6","1,3",0,0,0,0,"0,2",,0,"0,2","0,1","0,1",0,"0,1",0,0,0,0,0,0,0,0,0,0,0,0,"0,1","0,5","0,4","0,7",0,0,"0,1","0,2","0,1",0,"0,7",0,"0,3","0,2","0,2","0,3","0,6",0,0,0,0,0,0,"0,3",0,0,0,0,0,"0,5",1,,
22,21/07/2025,"0,4",2,"2,7","2,7","0,8","0,3",10,"2,1","4,8",3,"3,4","0,8","9,4","3,8","0,5","0,6",1,"1,1","5,5",,"0,2","0,6","2,1",2,"0,1","0,8","0,5","0,1",0,"0,2","0,4","0,5","0,2","0,3","0,1","0,7","0,9",0,"1,2","8,3","3,3","4,9","0,4","0,6","2,6","3,5",1,"0,6","1,6","0,2","3,2","0,8",4,"6,3","1,1","0,1","1,1","0,5",2,"0,3","0,5","3,2",0,"1,3",1,"0,1",1,"6,4","1,7",,
23,22/07/2025,"4,1","4,4","3,6","3,2",4,"1,5","5,9","2,3","6,8",6,"3,6","2,8","12,5","4,4","4,4",5,"3,8","1,9","3,6",,"1,1","3,8","3,2","7,3","2,6","1,3","1,2","3,2","7,2","2,3","1,1",5,"3,5","5,4","1,9","1,7","2,2","6,1","3,1",6,"4,5","6,4","3,2","3,9","1,9",2,"3,6","4,2","2,2","4,9",6,"1,7","2,9","4,8","2,3","1,2","1,8","2,1","3,4","2,9",2,"6,3","4,1","6,9","3,5","4,2","3,6","8,8","2,2",,
24,23/07/2025,0,"1,1","0,8","1,9","0,1",0,"5,5","0,8","2,9","1,9","2,3","0,5",1,"1,2",0,"0,1",0,"2,6","5,5",,"0,2","0,5","1,7","1,2","0,1",2,"0,2","0,1",0,0,0,"0,3","0,3",0,0,"0,4","0,3",0,"1,3","2,1","2,5","5,8","0,1",0,"2,6","3,1","0,8","0,1",0,0,"2,1","0,4",1,"6,2","0,4","0,6","0,2",0,0,0,"0,4","1,1","0,3",0,0,"0,1","0,5","4,9","0,2",,
25,24/07/2025,0,"0,2","0,3","1,2",0,0,"1,2",1,"0,2","1,7","1,2","0,8",4,"1,3",0,0,"0,1","0,3","2,1",,"0,2","0,1","0,1","0,3",0,0,0,0,0,0,"0,2",0,"0,1",0,0,"0,1",0,0,0,"0,9","0,1","0,8",0,0,"0,9","1,3","0,3",0,"0,4",0,"1,2","0,2","0,4","1,1","0,7","0,4",0,0,"0,9","0,4","0,1","1,7",0,"0,1","0,8",0,0,"1,6",0,,
26,25/07/2025,0,0,"0,1","0,1",0,0,"0,5",0,0,0,"0,1",0,"1,4","0,2",0,0,0,0,"0,4",,0,"0,4",0,"0,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,6","0,1","0,5",0,0,"0,2","0,3",0,0,0,0,"0,1",0,"0,1","0,1",0,0,"0,1",0,0,0,0,"0,3",0,"0,1",0,0,0,"4,8",0,,
27,26/07/2025,0,"1,5","1,5","0,3","0,1",0,"1,1","0,1","2,2","0,3","0,1","0,1",3,"0,2",0,0,"0,4","0,5","0,9",,2,"2,3","0,3","1,4",0,"0,2","0,2",0,"1,2","0,2",0,0,0,0,"0,9","0,7",0,"0,9","0,6","1,9","0,7","1,2",0,0,"0,2","0,4",0,"1,4","0,1","1,6","0,9","2,1","0,7","0,5","0,1","1,6",1,"0,2","1,1","0,1","0,7","1,3","0,3",0,"0,8",0,"0,7","1,6","2,3",,
28,27/07/2025,0,"0,4","0,3","0,7",0,0,"0,7","0,3","1,8","0,3","3,8","0,2","2,6","0,1",0,0,"0,6","0,2","1,1",,"0,2","0,5","0,2","0,5",0,"0,1",0,"0,1","0,3",0,"0,3","0,2","0,1",0,0,"0,9","0,2",0,0,1,"0,1","0,5",0,0,"0,4","0,6","0,1","0,3","0,4","0,2",0,"0,3","0,6","0,5","0,4",0,"0,3","0,2",0,0,"1,3","1,3",0,"0,5","0,4",1,0,"9,6","0,2",,
29,28/07/2025,"0,2","0,7","0,9","0,6","0,6",0,"2,6","1,6","0,4","0,7","0,2","0,7",2,"1,2","0,2","0,2",0,"0,3","1,1",,0,0,"0,3","0,9","0,1","0,2",0,"0,1",0,0,"0,1","0,1",0,"0,2",0,"0,1","0,3",0,"0,2","1,7","0,7","1,4",0,"0,3","0,8","1,2","0,3",0,"0,8",0,"1,4",0,"0,8","1,4","0,3",0,0,"0,3",0,"0,1",0,"1,1",0,0,0,"0,1","0,1",3,"0,1",,
