ID,ISEMESTRE2025,2120500202,21202250,21202230,2120500201,21202180,21206810,21202190,21202220,21201580,21201980,21201200,21202240,21206900,21206890,21206780,21208480,2120000108,2120000119,2120000117,2120000104,2120000103,2120000105,2120000107,2120000106,2120700038,2120700154,2120700037,2120000142,2120000099,2120000109,2120000100,2120000123,2120000124,2120000101,2120000120,2120000125,2120000122,2120000118,2120000130,2120000126,2120000129,2120000128,2120000131,2120000132,2120000134,2120000133,2120000136,2120000137,2120000135,2120000138,2120000139,2120000140,2120000127,2120000169,2120000170,2120000171,2120000172,2120000173,2120000174,2120000175,2120000121,Por asignar,2120700156,2120700157,2120700211,2120700158,2120500203,Por Asignar,Por Asignar,Por Asignar,Por Asignar
1,FECHALECTURA,Col Sierra Morena,Doña Juana,UAN Usme,Vitelma,Quiba,San Benito–río Tunjuelo,Juan Rey,Paraíso,Pasquilla,Guadalupe,La Unión,UAN Circunvalar,La Esperanza,Cerro Cazadores,Independencia–río Tunjuelo,Kennedy–río Tunjuelo,FOPAE–IDIGER,Col Alemania Unificada,Col Moralba Suroriental,COLMAC,Cerro Norte,El Codito,La Fiscala,Gran Bretaña,San Francisco–qda Limas,Molinos–qda Chiguaza,Casas Fiscales Artillería,Col Carlos Pizarro,Col 21 Ángeles,Col Rodolfo Llinás,Col Francisco Primero S.S.,Col La Chucua,Col Rafael Uribe Uribe,Altos de la Estancia,Col Gustavo Morales Morales,Col Sorrento,INEM Fco de Paula Santander,Col Alberto Lleras Camargo,Col Paulo Freire,Col Ciudad de Villavicencio,Col Ofelia Uribe,Col Gabriel Garcia Márquez,Col Antonio García,Col El Tesoro de la Cumbre,Col Los Alpes,Col El Manantial,Col Los Pinos,Col Friedrich Naumann,Col Manuel Elkin Patarroyo,Col Nueva Zelandia,Esc Pedagógica Experimental,Fund Ana Restrepo del Corral,Col Eduardo Umaña,Col La Belleza,Col Simón Rodríguez,Col Agustín Fernández,Col Unión Colombia,Col Carlo Federici,Col Magdalena Ortega Nariño,Col La Felicidad,Col Gustavo Restrepo,La Viga,Chicú–río Bogotá,La Ramada–río Bogotá,Cra 56B–canal río Salitre,El Tabaco–río Bogotá,Gravilleras–río Tunjuelo,Nazareth,Escuela Col Ingeniería,Palomar Príncipe IDPC,San Juan Sumapaz
93,30/09/2025,"14,6","18,2","15,7","11,6","13,1","14,2","18,8","14,7","14,6","10,5","10,5",11,"19,6","9,3","14,3","12,6","8,3","17,6","19,3","5,2",12,"8,2","17,8","18,7","13,5","15,9","15,7","10,7","22,6","18,7","11,2","12,4","15,4","19,8","12,7","14,4","10,9","15,3","16,4","17,1","20,1","19,9","11,5","12,9","19,6","18,4",15,"8,7","13,2","8,2","11,5","13,7","17,1","13,7",12,"11,8","6,1","21,2","13,6","32,2","15,2","6,6","15,1","19,4","15,5","11,4","13,7","4,5","5,6",,
94,1/10/2025,0,0,0,0,0,0,0,0,0,0,"0,1",0,"0,2","0,2",0,0,0,0,0,"0,5","1,7","1,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,4",0,"1,2","0,1",0,0,0,0,"0,6","0,5",0,"0,1",0,0,"0,5","0,1",0,"0,1",0,0,"2,1","0,8",,
95,2/10/2025,0,"0,7","0,3","1,5",1,"0,7",1,"1,6","0,1","1,8","0,9","1,3","1,9","1,6","0,1","0,2","1,1","0,9","1,3","0,6","1,9","2,8","1,4","1,2","0,5","1,2","1,7","0,3","2,1","1,2","1,2","0,5","0,8","0,2","1,3",1,"0,5","0,8","1,2","1,3","0,1","0,5","0,9",1,"0,8","0,9","0,8","1,5","1,3",1,4,"1,6","0,9","0,3","1,2","1,5","1,3","0,9","1,2","0,6",2,"1,8",1,"0,4","1,1","0,2","1,2","5,1","1,6",,
96,3/10/2025,"0,4","0,3","0,9","0,6","0,2","0,2","2,1","2,9","0,2","1,3","0,2","2,2","2,9","1,3","0,2","0,7","1,3","0,5","1,8","0,4","0,5","0,8","0,4","0,7","0,2","0,3","0,1","0,3","1,1","2,4","0,8","0,3","0,2","0,4",1,"0,4","0,8","1,2","0,3","2,1","1,5","2,8",0,"0,1","0,9",1,"0,5","0,4","1,7","0,6","0,8","0,5","1,3","0,9","1,5","0,4","0,4","0,9","0,8","1,4","0,3","1,9","1,4","0,7",1,"0,1","0,1","0,6","0,5",,
97,4/10/2025,0,0,0,"2,1",0,0,"0,5","1,2",0,2,"1,3","0,8","0,2","3,9",0,0,1,"1,3",2,"0,2","1,4","0,7","0,7",0,0,"0,9","0,1",0,"0,6","0,4","0,5","0,1","0,3",0,"0,5","0,2",0,"0,5","0,3",0,"0,3","0,4",0,0,"1,4","2,4","1,2","0,9","1,2","0,6","3,9","2,2",0,"0,9",1,1,"0,5","1,1","0,6","0,1","1,3","5,1","0,6","0,1","0,6",0,"0,2","1,6","0,1",,
98,5/10/2025,0,0,"0,1",0,"0,2",0,0,"0,1","0,5",0,0,"0,2","0,5","1,5",0,0,0,"0,1",1,"1,2",0,0,"0,3",0,0,"0,1",0,0,0,0,"0,8",0,0,0,0,0,0,0,"0,1",0,0,0,"0,1",0,"0,4",0,0,0,0,0,1,0,0,"0,4","0,3",0,0,0,"0,2","0,3",0,"0,1",0,0,"0,6",0,"0,1","0,6",0,,
99,6/10/2025,"0,5",0,"0,9",0,0,"2,3",0,0,0,"0,3","0,9",0,"0,1",0,"0,5","0,5",0,"1,7",0,0,0,"0,1",0,"0,9","2,3","5,1","6,1","0,2",0,0,"0,3","0,8","2,6","0,9",0,"0,6","1,1",0,0,"1,3",0,"0,1","0,5",0,0,0,"1,6",0,0,0,0,0,"0,8",0,0,0,0,"1,8",0,"0,1",4,1,0,"0,6",0,0,0,"1,1",0,,
100,7/10/2025,2,"2,9","4,6","3,4","1,7","2,1","3,7","2,8","8,6","3,2","1,2","2,8","18,7","4,4","1,7","1,9","3,3","2,2","4,3","6,2","5,5",7,"2,4","3,4",2,"2,2","2,4","1,3","4,7","3,1","4,2","2,3","2,7","2,2","4,2","2,6",2,"3,2",2,"5,8","3,3","4,8","1,9","1,5","3,2","3,4",3,"5,3","2,4","5,1","6,1","5,5","4,1","2,6",3,"4,5","4,5","2,8","3,3","2,6","2,7","4,1",3,"1,7","3,7","1,5","2,2","2,6","4,9",,
101,8/10/2025,0,"0,1","0,4","0,3",0,0,"0,1","0,2","1,1","0,1","1,3","0,1","5,2","0,4",0,0,0,0,"0,3","0,1",0,"0,1","0,2","0,2",0,0,0,0,0,0,"0,2",0,0,0,0,0,0,0,0,"0,3",0,"0,1",0,0,0,"0,1",0,0,0,0,"0,3","0,2","0,2","0,1","0,3",0,0,"0,1",0,0,0,"0,4",0,0,0,0,0,"6,7","0,2",,
102,9/10/2025,"0,3","0,1","0,5","0,2",0,0,0,0,"0,7","0,1","0,3",0,"3,9",0,"0,1",0,"22,8","0,2","0,2",0,0,"0,2",0,"1,1",0,0,0,"0,3",0,"21,5","12,5","0,3","0,2",0,"0,2",0,"0,3","3,8",0,"0,5",0,0,0,0,"0,2","0,1",0,0,0,0,0,0,"0,2","0,1",0,0,0,"3,6",32,"1,1","0,1","0,5","3,7","7,9","17,9","7,1",0,4,0,,
103,10/10/2025,"0,8","0,3","0,6","0,5","0,4","0,6","1,9","0,3","1,3","0,6","1,3","0,1","5,3","0,3","2,2","0,9","0,4","0,6",2,"3,6",0,"1,5","0,6","0,8","0,6","0,4","0,3",1,21,"0,7",0,"0,4","0,5","1,6","0,9","0,2","0,3","2,5","0,3","2,3","1,1","2,2","0,3","0,3","0,7","0,9","0,4","0,6","0,2","1,4","0,1","0,8",1,"1,2",0,0,"1,9","0,2",0,"0,2","0,4","1,1","8,3","0,1",0,"1,6","0,3","2,2","25,1",,
104,11/10/2025,"7,7","7,9","9,2","2,4","2,6","0,5",2,"3,9",0,"2,7","6,5","17,4",0,"15,5","6,4","11,2","8,8","0,6","0,5","0,6","6,1","1,9","0,8","6,7","0,2","0,5","0,9","2,3","12,4","4,7","23,4",5,"6,2","8,9","17,7","8,4","4,2",11,"1,2","1,4",3,"1,2","0,9","4,4","0,9","1,5",7,"6,1","1,7","1,9","14,4","11,8","14,2","1,1","17,5","5,2",3,"10,4","11,5","11,7","2,1","6,8","6,5","7,7","13,3","3,8","3,1",0,"1,2",,
105,12/10/2025,"7,3",6,"5,7","7,6","9,3","4,1","4,1","1,8","3,2","1,2","0,1","3,2","4,3","3,2","16,2",16,"1,5","24,8","6,6","2,1","3,7","0,6","7,2","14,7",5,"22,8","12,3","10,2","3,4",2,"8,4",18,"10,2","10,3","1,5","24,4",16,"4,4","9,9","1,8","4,8","0,9","11,2",15,"10,7","7,5","15,8","1,5","1,4","1,1","1,3","0,1","1,7","3,7","3,8","2,9","0,7",6,"2,5","5,8","12,2","0,7","1,3","0,7","3,1",5,"11,7","0,9","0,5",,
106,13/10/2025,16,"15,9","13,6","26,4",17,"29,5","11,1","12,6",20,"9,4","9,1","11,3",34,"16,3","18,2","15,1","37,9","28,3","19,7","19,3","19,5","36,3","21,2","21,4","31,5","26,6","36,9","22,8","13,4","18,9","34,4","26,7","37,8",17,"41,4","48,1",27,"8,1","23,2","9,4","8,2","9,9","21,9","28,4",19,"24,1","30,1","27,6","13,8","12,3","17,3","14,5","8,8","10,4","15,2","18,1","25,6","24,8","19,3","16,3","28,7","4,3","11,1","16,8","20,5",20,"23,4","6,5","8,3",,
107,14/10/2025,1,"0,9","0,4",1,"2,3","2,3",1,"0,6",1,"1,5","0,9","0,4","2,6","0,3","0,5","0,4","0,7","0,5","1,2","0,5","0,5","0,4","0,8","1,8","2,4","0,9","1,2","0,3","0,3","0,5","0,4","0,8","1,4","1,1","0,3","0,9","0,7","0,3","0,5","0,5","0,6","0,6","1,5","1,6","0,6","1,1",1,"0,4","0,6","0,2","0,7","0,2","0,5","0,6","0,3","0,3","0,3","0,2","0,5","0,4","0,3","1,2","0,3","0,3","0,6","0,3","0,5","0,6","0,2",,
108,15/10/2025,"0,1","3,7",5,0,"1,7",1,"3,2","0,1","8,5","0,1","10,7","0,7","7,4",0,"0,3","0,7","0,6","0,8","0,9","0,1",0,"0,2","1,1","4,5","1,4","0,6","1,3","1,2","3,2","0,5","0,1","0,8","1,1","0,4","0,9","0,6","0,6","3,7","1,7","4,5","2,8","3,3","1,8","2,5","0,4","0,2",0,0,"0,3",7,0,0,"4,8","1,8","0,3",0,"0,3","0,1","1,5","1,1","0,5","1,3","0,2",0,"0,5",3,"1,8","6,9","4,7",,
109,16/10/2025,"1,3","0,6","0,4","5,1","0,9","1,1","2,2","3,9","2,1","6,3","1,1","3,3","0,8","2,2","0,6","1,6","7,1","2,1","6,2",4,"21,8","18,1","0,6",1,"1,4","3,8","2,7","4,3","28,8","13,2","3,5","2,8","1,3","1,7","65,7","1,8","1,3","11,2","0,9","0,2","0,3","0,4","0,8","0,7","4,6","5,3","3,9","12,7","3,9","17,9","5,1","30,4","0,2",3,"2,7","20,1","18,2","12,2","5,4",4,"3,3","1,6",15,"19,9","1,4",5,"0,8",,"7,3",,
110,17/10/2025,4,"3,3","4,9","13,4","3,7","3,7","2,2","3,1","8,1","10,7","7,8","3,6","10,8","9,8","1,8","1,9","3,3","7,2","6,7","25,1","12,7","5,8","4,2","1,9","3,9","9,6","6,4","1,4",3,"1,7",3,3,"4,8","3,4","3,6","2,2","2,7","2,3","3,2","4,9","1,9","2,5","3,1","3,6","7,7",11,"10,6","6,4","3,2","6,9","10,1","9,5",4,"2,1","5,5","8,3","4,9","3,3","4,9","1,9",13,"18,4","7,2","28,9","6,9","2,1","3,3",,"8,9",,
111,18/10/2025,"1,6","2,4",3,"3,5","1,5","1,4","2,5","2,2","3,9",2,"3,3","1,8","4,2","1,9","1,8","1,8","1,1","1,6",3,"1,6","1,2","11,4","2,4","3,3","1,1",2,"2,3","2,1","2,2",1,"1,8","1,4","1,3","1,8","0,9","1,8","1,5","1,2","2,3","3,1","2,5","2,2","1,1","1,2","2,5","3,6","2,6","4,2",2,"5,9","1,9","1,7","2,5",2,"1,9",1,7,"1,6","0,8","1,2","2,1","1,4","3,4","2,3","1,1","2,9","1,9",,"3,8",,
112,19/10/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,1",0,0,"0,1",0,,0,,
113,20/10/2025,0,0,0,0,0,0,"0,1",0,"0,7",0,0,0,0,"0,1","0,1",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,4","0,1",0,"0,1",0,0,0,0,"0,1",0,0,0,0,0,0,0,0,"0,2",0,0,0,0,"0,7",0,0,0,0,0,0,1,0,"0,5",0,0,"0,1","1,2",0,0,0,,0,,
114,21/10/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,2",0,0,"5,1",0,0,"1,1","2,1","1,7",0,0,0,0,0,0,"6,2","0,5",0,0,0,0,"9,6","0,2",0,"14,5",0,0,0,0,0,0,0,0,0,"1,5",0,"1,2","0,3",1,0,0,0,"1,3","1,4","0,1",7,"0,1",0,"0,1","3,5",3,"2,7",0,0,,"1,5",,
115,22/10/2025,"0,9","5,9","6,4","15,2","6,7",2,0,17,0,"16,8","7,9","9,6","0,6","0,4","0,2","0,2","0,8","1,9","1,9","26,7","20,9","27,9","0,9","10,4","0,7","5,3","2,9",0,"0,6","0,6","19,3","0,1","0,1","0,7","0,3","2,6","1,5","0,1","0,4","0,2","0,2",0,0,"2,8","4,9","4,9","18,4","19,9","14,6","4,8","0,4","0,9","2,7","0,1","7,6",17,"13,3",0,"1,4","1,1","1,7","0,3","0,2",0,"3,4",0,"0,1",,16,,
116,23/10/2025,8,"2,2","1,9",6,"2,9","2,2","5,8","1,5","9,3","11,2",13,"1,3","8,7","0,8","13,5","17,2","22,3","6,8","8,9","46,5","5,4","17,5",5,"5,2","2,9","4,2","2,5","15,7","22,5","37,4","40,2","19,2","5,9","20,9","35,4","11,8","9,5","21,1","3,9","3,3",4,7,"1,1",,"5,4","6,2","19,1",,"6,6","41,9","1,6","3,4","4,3","5,2","1,3","4,2","18,1","14,5","40,5",14,"5,1","8,7","17,9","23,8","23,4","7,5","3,5",,"44,1",,
117,24/10/2025,"1,5","2,2",2,"3,9","1,7","1,5","2,2","3,3","3,2","4,5","4,1","2,8","3,4",4,"1,9","1,5","2,2","2,7","3,1","7,5","6,3",5,"2,9","2,3","1,5","2,2","2,3","2,2","4,5",0,"2,7","1,8","1,7","1,6","4,7","1,8","1,3","3,2","2,4","2,6","2,5",2,"1,3","1,7",3,"3,2","3,7","6,4","3,5","5,2","4,7","4,1","2,2","2,5",3,"5,5","4,5","1,7","2,3","1,3","2,3",4,3,"2,2","2,9","1,7","1,8",,"6,6",,
118,25/10/2025,0,0,"0,1",0,0,0,0,0,0,0,"0,5",0,"0,1",0,"0,1",0,"4,1",9,"0,4","0,2","3,3","3,1","0,4","0,1",0,"2,5",0,"4,9",0,"1,6",0,0,0,0,"0,2","0,5","0,7",1,"0,3",0,0,0,0,0,"9,9","0,1",0,"16,7","0,5","11,5",0,"9,6",0,"0,3",0,"8,9","9,1",0,"2,5","1,8","1,1",0,"9,6",1,0,2,0,,"5,2",,
119,26/10/2025,0,"0,1","0,4",0,0,0,0,0,"0,7",0,"1,4",0,"7,4","0,1",0,0,0,0,"0,1",0,"0,2","0,1",0,0,0,0,0,0,"0,1",0,0,0,0,0,"0,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,2","0,2",0,0,0,0,0,0,"0,4",0,0,0,"0,1",0,0,"0,1",0,,0,,
120,27/10/2025,"1,9","0,2",0,"8,7",1,"1,9","3,8","15,5",1,"14,3",0,"6,6","0,1",3,"1,2","1,8",3,"0,5","0,3",0,"0,2","0,1","1,7","0,1","1,2","0,7","2,4",1,"1,6","36,1","11,1","0,9",0,"5,2",2,"1,9",4,"14,3","1,7","1,7","1,1",1,"0,6","0,9","0,8","2,9","9,5","1,3","21,8","5,4","3,7","3,9","0,8","2,8","3,7","0,1","0,7","0,3","4,7","0,9","0,6","4,3","23,3","0,6","4,7","2,2","1,6",,"0,2",,
121,28/10/2025,0,0,0,"0,1",0,0,0,"0,1",0,0,0,0,"1,6","0,2",0,0,0,0,"0,1","0,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,1",0,0,0,0,0,"0,1",0,"0,1","0,1",0,"0,5","0,1",0,0,0,"0,1",0,0,"0,2",0,0,"0,4","0,1",0,"0,1","0,2",0,,0,,
122,29/10/2025,0,"0,3","0,1","0,1",0,0,"0,1","0,1","0,1","0,1",0,0,"0,7","0,4",0,0,0,0,"0,1","0,9","1,1","1,1","0,3",0,0,0,0,0,"0,3",0,0,0,0,0,"0,1",0,0,"0,1","0,2","0,1",0,0,0,0,0,0,0,"0,9",0,"0,5","0,9",1,"0,1",0,0,"0,7","0,7",0,0,0,0,"0,4","0,1",0,0,0,"0,5",,"0,6",,
123,30/10/2025,"0,1",0,0,0,0,"0,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,7",0,0,"0,8",0,0,0,"0,5","4,9","0,1",0,0,"0,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"17,3",0,"0,5",0,0,0,"0,3",0,"0,3",0,,0,,
124,31/10/2025,0,"0,2",2,"0,1",0,0,"0,7",0,"0,9",0,"0,3",0,"4,6","0,1",0,0,0,0,"0,3",0,0,"0,1",0,"0,8",0,0,0,0,0,0,0,"0,1",0,0,0,0,0,0,0,"1,1",0,"0,1",0,0,0,"0,4",0,0,0,0,0,0,"0,2","0,2",0,0,0,0,0,0,0,"0,2",0,0,0,0,0,,"0,1",,
125,1/11/2025,0,0,0,0,0,0,0,0,0,0,0,0,"0,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,1",0,0,0,0,0,0,0,,
126,2/11/2025,0,0,0,0,0,0,0,"0,3",0,0,"0,5","0,1",0,"0,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,1",0,0,0,0,"0,1",0,0,0,0,0,0,0,"0,2",0,0,0,0,0,"0,1",0,,
127,3/11/2025,0,"14,9","0,8",0,"0,4",0,1,0,0,0,0,0,"0,6",0,"1,3","1,5",2,0,"0,1",0,0,0,"0,3","14,3",0,0,"0,2","0,9",0,"3,9","1,5","2,3",0,"0,8","1,2","0,7","1,9",0,"1,1","0,1","0,1",0,"0,4","2,3",0,0,0,0,0,0,0,0,0,"0,3",0,"0,4",0,"3,3",2,"1,1",0,0,0,"3,5","5,4","1,5","0,8","1,1",0,,
128,4/11/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,3",0,0,"0,1",0,0,0,0,0,0,0,"0,4",1,0,1,"1,3","0,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,3",0,0,0,"0,3",0,"0,1",0,0,"0,5",0,0,0,0,"0,1",0,0,0,,
129,5/11/2025,0,"0,5","0,4","1,4",0,0,"0,9","0,4",1,"0,9",5,"0,3",3,"0,4",0,0,0,"0,4","1,9","0,1",1,"0,4","0,2","0,3",0,"0,3",0,0,"0,3","0,4","0,3",0,0,0,"1,3","0,1",0,"0,3","0,4","1,5","0,6","1,4",0,"0,1","0,9","1,9","0,9","0,5","0,3","0,1","0,4","0,6","0,5","0,6","0,3","0,8","0,2",0,"0,8",0,"0,2","1,7",0,0,"0,5",0,"0,4","7,9",0,,
130,6/11/2025,"1,9","3,2","3,4","3,5","1,9","2,1","3,1","3,9","4,2","3,7","5,8","3,2","4,5","3,9","2,3","5,7","2,9","3,1","4,2","2,2","4,5","4,5",3,"2,8",2,"2,7","2,9","1,6","4,2","1,4","3,9","6,3","2,5",2,"3,9","2,8","7,9","3,5","2,6","3,2","2,6",3,2,"1,9","3,6","3,7","3,3","4,1","2,9",4,"3,9","4,7","3,6","2,8","3,5","4,1","3,7","2,8","3,4","2,5",3,"3,3","2,4","1,9","3,6",2,"2,3","4,2","3,3",,
131,7/11/2025,0,0,0,0,0,0,0,0,0,0,0,0,"0,1",0,0,0,"2,2",0,0,0,0,"0,5",0,0,0,0,0,0,"0,5","0,5",0,0,0,0,0,0,0,"0,1",0,0,0,0,0,0,0,0,0,"0,1",0,1,0,0,0,0,0,0,"0,3","4,3",0,0,0,0,"0,1",0,0,0,0,,"0,1",,
132,8/11/2025,0,0,0,0,0,0,0,0,0,0,0,0,"0,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,3",0,0,0,0,0,"0,4",0,"0,1",0,0,0,,
133,9/11/2025,"0,2",1,"1,7","0,4","0,6","0,1","4,1",0,2,0,"0,6",0,"2,7","0,8","0,3",0,0,"0,2","1,1",0,"0,9",0,"0,5","1,3",0,0,0,"0,2",0,0,0,0,"0,2","0,3",0,0,0,0,"0,4","3,6","3,5","4,7","0,1","0,3","0,7","0,7",0,"0,2",0,0,"0,9",1,"2,1","1,5",0,"0,4",0,0,"0,1",0,"0,3","1,1",0,0,0,"0,3","0,5","1,8",0,,
134,10/11/2025,0,0,0,0,0,0,0,0,0,0,0,0,"0,6",0,0,0,"0,3",0,"0,2","0,5","0,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,1",0,0,0,0,0,"0,3",0,0,0,0,0,"0,9",0,,
135,11/11/2025,0,0,0,0,0,0,0,0,0,0,"0,7",0,"1,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,
136,12/11/2025,"14,8","5,7","4,3","3,9","7,6","22,6","2,5","0,2","12,3","1,4","7,8","0,2",11,"0,4","21,3","22,4","27,2",2,4,0,0,0,"1,4","5,7","20,5",3,"13,1","9,4",17,"5,2","5,9","24,3",25,"14,7","3,3","11,5","14,8","7,2","1,3","10,6","4,8","6,8","9,8","4,2","2,9",4,"2,1",0,"0,5","2,7","0,2","0,2",7,2,"0,2","2,6",0,"15,9","22,7",23,"21,8","2,9","2,6","5,7","20,8",12,"1,4",4,"0,4",,
137,13/11/2025,"0,2","0,2","0,2","1,8","0,1","0,7","4,9","1,7","0,9","2,9",0,"1,3",1,"0,5",6,"4,3","4,4",2,"1,7","0,5","1,2","0,7","2,5",0,"0,4","0,5","0,8","2,7","10,1","3,4","2,6",4,"3,1","0,3","6,3","6,2",6,"21,6",1,"1,7","1,3","3,2","0,4",0,"1,1","1,9","4,9","0,4","1,9","0,1","0,7","0,6","1,2","3,6",1,"4,9","0,2","4,2","3,4","3,9",2,"3,6","12,7","4,2","3,1","8,1",1,"1,8","0,4",,
138,14/11/2025,"4,1","5,3",6,"3,6","3,4","2,3","1,7","12,8","8,6","6,2","2,9","7,9","11,5","0,8","1,6","1,3","1,3","2,2","1,4","0,4","1,5","0,1","3,2","8,8","2,5","5,9","3,4","0,9","9,4","3,5",4,3,3,"4,3","4,8",3,"5,5","6,8","4,3","2,1","3,2","1,5","3,3","4,1",1,"1,6",12,"0,2","12,4","1,5","0,7","0,5","2,2","1,5","3,5","2,4","0,2","0,3","1,2","1,1","4,1","1,8","14,5","0,6","2,7","1,5","4,9","4,5","0,9",,
139,15/11/2025,"13,8","1,2","2,4","36,8","13,3","13,7","15,6","18,7","0,1","25,8","9,5","21,3","3,6","5,8","4,6","4,6","10,5","32,3","22,2","25,2","17,8",1,"39,4","13,1","14,3",34,"27,6",4,"14,6",8,"7,9","4,9","5,6","11,8","16,3","8,3","4,7","11,3","34,7","6,4","8,7","13,2","22,3",18,"21,8","17,8","37,3","2,8","31,8","5,3","15,6","8,3","3,5","13,7","17,3","25,6","1,7","5,1","14,5","7,8","20,5",17,"7,4","8,8","12,7","5,9","25,6","0,5",6,,
140,16/11/2025,"0,8","0,7","1,9","5,1","1,2","0,7","3,2",9,"0,1","13,5",0,"8,6","1,8","12,9","0,6","0,9","18,4","2,6","7,4","27,3","19,3","44,6",2,2,"0,8",2,"0,5","0,4","7,6","14,2","9,9","1,6","1,2","0,9","15,7","2,7","0,9","3,6","1,7","1,7","1,5","1,5","0,9","1,2","5,1","5,6","5,2","24,8","7,9","19,2","13,5",11,"1,5","3,9","9,5","17,2","24,9","2,3","12,8","3,4","2,3","3,3",3,8,"13,8","5,1","1,4","6,4","21,1",,
141,17/11/2025,"2,8","1,3","1,1","0,5","1,3","0,7",2,"1,2","0,7","0,9","7,5","0,4","0,5","4,9",1,"1,6","0,5",0,"0,3","3,1","0,7","1,4","0,7","1,2","1,2","0,2","0,4",1,"0,6",0,"0,5","0,3","1,1","3,8","0,2",0,"0,2","1,1",0,"1,1","0,7","1,1","0,4","0,9","0,4","2,2","0,2","0,8","0,8","1,3","12,7","0,3","0,6","1,2","0,5","0,5","0,9","0,4","0,5","0,6","0,1","1,1","2,8","0,4","0,4","3,1","0,3","3,1",2,,
142,18/11/2025,"12,2","7,9","7,7","10,9","5,6","6,3","9,3","18,6","8,2","16,3","8,8","8,2","10,2",16,"0,2","5,9","2,6","4,3","10,9",0,"34,3","7,3",3,"4,7","7,7","6,4","8,1",0,"0,1","3,8","12,8","13,3","17,4","7,4",2,"15,2","7,8","0,2","4,8","8,2","4,6","9,5","7,7","7,6","8,2","16,8","16,7","7,5","34,1","0,1","18,3","12,8","5,5","6,5",6,"20,1","2,6",0,"3,2","1,5","8,2","0,4",0,0,"21,9",0,"4,8","0,1",0,,
143,19/11/2025,"0,1",0,0,"0,3",0,"0,2",0,0,0,"0,2",0,0,"0,3",0,0,"0,8",0,"0,1",0,0,0,0,0,0,"0,4",0,0,"0,1",0,0,0,"1,7","0,1","0,5",0,"0,1","1,3",0,0,0,0,0,0,0,0,0,"0,1",0,0,0,"0,1",0,0,"0,1",0,0,0,0,0,"0,6",0,"0,6",0,"0,4",0,"0,1","0,1",0,0,,
144,20/11/2025,"5,4",0,0,"23,3","5,3","4,2",0,"12,4",0,"17,1",0,"15,4",0,"9,2",6,"12,5","51,5","15,8","3,9",0,"6,7","0,1","13,5",0,"9,8","11,5","10,9",1,"1,9","8,5","17,6","6,3",6,"5,1","3,1","15,5","3,3","3,2","11,8",0,0,0,"7,5","1,6","15,8","16,2","28,1","2,8","2,7","6,4","8,4","24,6",0,"0,4","18,3","10,2","4,1","3,6","8,9","22,2","20,1",0,"0,6","3,4","23,2","1,1","3,5",,"7,5",,
145,21/11/2025,"3,4","7,3","4,6",26,6,"4,3",12,5,0,5,"3,3","5,2","1,8","7,6","2,4","3,5","41,2","20,8","13,9","6,2","14,5","6,3","20,3","17,4","3,6","19,4","14,8","1,1","20,2","6,8","65,5","2,6","4,9","5,8","34,9","22,4","2,5","18,9","20,4","2,7","4,4","3,9","5,9","7,8","23,5","10,9","6,9","10,9","4,6","15,2","12,3","17,6","2,9","14,3","5,5","15,2","7,3","2,4","18,1","6,2","13,6","14,5","16,5","3,2",31,"0,2","22,5",,"21,5",,
